Intercom Cell Number,Lift Number,Asset Number myBuildings,Whatsapp Relay SMS Contact 1,Whatsapp Relay SMS Contact 2,Whatsapp Relay SMS Contact 3,Building Name,BLD number/code,Number of Lift In Building
27607043779,01/L2295,1056969,0820956584,0813912338,0682653965,THE PLACE,2476,Lift 7
27660667427,01/L2297,1056970,0820956584,0813912338,0682653965,THE PLACE,2476,Lift 8
,,,Michael,Kaylin,Phinda,,,
,,,,,,,,
Acknowledge,Action 1,Action 2,Action 3,,,,,
Test,Close the Request and Notify other team members,,,,,,,
Maintenance,Close the Request and Notify other team members,,,,,,,
Entrapment,Notify other team members,Ask the Question has the service provider been notified of the entrapment,Once Entrapent is Cleared close the Request,,,,,
